FID	IID	PRS
ID_632	ID_632	0.00755937
ID_633	ID_633	-0.000636484
ID_634	ID_634	0.00311678
ID_635	ID_635	-0.00245674
ID_636	ID_636	-0.00865662
ID_637	ID_637	0.00246616
ID_638	ID_638	0.00139547
ID_639	ID_639	-0.00232975
ID_640	ID_640	0.00530753
ID_641	ID_641	-0.00498154
ID_642	ID_642	0.00605104
ID_643	ID_643	-0.0049792
ID_644	ID_644	0.0027188
ID_645	ID_645	0.0111302
ID_646	ID_646	0.00667697
ID_647	ID_647	0.00740241
ID_648	ID_648	-0.0054379
ID_649	ID_649	0.00571457
ID_650	ID_650	0.00108986
ID_651	ID_651	0.00540812
ID_652	ID_652	-0.00376482
ID_653	ID_653	-0.00144875
ID_654	ID_654	-0.00116719
ID_655	ID_655	0.000498682
ID_656	ID_656	-0.00368252
ID_657	ID_657	-0.00173964
ID_658	ID_658	-0.00085472
ID_659	ID_659	0.0135164
ID_660	ID_660	0.00703701
ID_661	ID_661	-0.00199701
ID_662	ID_662	0.00499049
ID_663	ID_663	-0.00749787
ID_664	ID_664	0.00177871
ID_665	ID_665	0.00831316
ID_666	ID_666	0.0024898
ID_667	ID_667	0.00813422
ID_668	ID_668	0.00620054
ID_669	ID_669	0.0037806
ID_670	ID_670	0.00151837
ID_671	ID_671	0.0105644
ID_672	ID_672	0.00662338
ID_673	ID_673	-0.00149868
ID_674	ID_674	-0.00334242
ID_675	ID_675	-0.00821934
ID_676	ID_676	-0.013258
ID_677	ID_677	0.00743435
ID_678	ID_678	-0.00190351
ID_679	ID_679	-0.00417656
ID_680	ID_680	0.00756176
ID_681	ID_681	0.00283262
ID_682	ID_682	-0.00205927
ID_683	ID_683	0.00523066
ID_684	ID_684	0.0124034
ID_685	ID_685	0.00151107
ID_686	ID_686	0.000137316
ID_687	ID_687	0.00916605
ID_688	ID_688	0.00577271
ID_689	ID_689	0.000889773
ID_690	ID_690	-0.00133325
ID_691	ID_691	0.0071523
ID_692	ID_692	0.00175506
ID_693	ID_693	0.00776686
ID_694	ID_694	0.00571548
ID_695	ID_695	0.0103377
ID_696	ID_696	0.000185207
ID_697	ID_697	0.00158816
ID_698	ID_698	0.0103931
ID_699	ID_699	0.00284846
ID_700	ID_700	-0.00320038
ID_701	ID_701	0.00373475
ID_702	ID_702	0.00866814
ID_703	ID_703	0.0041809
ID_704	ID_704	-0.00575723
ID_705	ID_705	0.00442264
ID_706	ID_706	-0.0033294
ID_707	ID_707	0.00029521
ID_708	ID_708	0.00411059
ID_709	ID_709	0.0164648
ID_710	ID_710	0.00327315
ID_711	ID_711	0.0065253
ID_712	ID_712	0.00691058
ID_713	ID_713	0.000692945
ID_714	ID_714	0.00690226
ID_715	ID_715	0.00549185
ID_716	ID_716	0.00202244
ID_717	ID_717	-0.0027634
ID_718	ID_718	-0.00884602
ID_719	ID_719	0.0102225
ID_720	ID_720	0.00267788
ID_721	ID_721	0.0102939
ID_722	ID_722	0.00860172
ID_723	ID_723	0.00959281
ID_724	ID_724	0.0100088
ID_725	ID_725	-0.000418969
ID_726	ID_726	-0.00489999
ID_727	ID_727	0.00707122
ID_728	ID_728	-0.00219976
ID_729	ID_729	0.000174509
ID_730	ID_730	0.00311529
ID_731	ID_731	-0.00172077
ID_732	ID_732	-0.0051584
ID_733	ID_733	0.00417722
ID_734	ID_734	-0.00181268
ID_735	ID_735	0.00408596
ID_736	ID_736	0.00275227
ID_737	ID_737	0.0100979
ID_738	ID_738	0.00675416
ID_739	ID_739	0.00999802
ID_740	ID_740	-0.00651565
ID_741	ID_741	-0.000834161
ID_742	ID_742	0.00537008
ID_743	ID_743	0.00171678
ID_744	ID_744	-0.00344813
ID_745	ID_745	-0.00547896
ID_746	ID_746	-0.00499448
ID_747	ID_747	-0.00595486
ID_748	ID_748	0.000574616
ID_749	ID_749	0.015965
ID_750	ID_750	-0.00114775
ID_751	ID_751	-0.000762669
