FID	IID	PRS
ID_549	ID_549	0.00133292
ID_550	ID_550	-0.00276547
ID_551	ID_551	-0.00284959
ID_552	ID_552	-0.00329267
ID_553	ID_553	-0.00243047
ID_554	ID_554	0.00116248
ID_555	ID_555	0.00248792
ID_556	ID_556	-0.00526942
ID_557	ID_557	0.0163737
ID_558	ID_558	0.00445583
ID_559	ID_559	0.00166905
ID_560	ID_560	-0.00021418
ID_561	ID_561	-0.00266741
ID_562	ID_562	0.0013275
ID_563	ID_563	0.00251615
ID_564	ID_564	-0.00617849
ID_565	ID_565	-0.00763527
ID_566	ID_566	-0.00151037
ID_567	ID_567	-0.00131072
ID_568	ID_568	0.0024389
ID_569	ID_569	0.00126829
ID_570	ID_570	0.00546244
ID_571	ID_571	0.00290797
ID_572	ID_572	0.00770538
ID_573	ID_573	0.000964105
ID_574	ID_574	0.00317876
ID_575	ID_575	0.00271876
ID_576	ID_576	0.00533594
ID_577	ID_577	-0.00363271
ID_578	ID_578	0.000708077
ID_579	ID_579	-0.00256141
ID_580	ID_580	0.000269375
ID_581	ID_581	-0.00235477
ID_582	ID_582	-0.00164069
ID_583	ID_583	0.00445154
ID_584	ID_584	0.00570348
ID_585	ID_585	-0.00207913
ID_586	ID_586	0.00158735
ID_587	ID_587	0.0122356
ID_588	ID_588	8.18702e-05
ID_589	ID_589	0.0034674
ID_590	ID_590	-0.00406521
ID_591	ID_591	-0.00144178
ID_592	ID_592	-0.000814727
ID_593	ID_593	-0.00120594
ID_594	ID_594	-0.000267957
ID_595	ID_595	0.000903027
ID_596	ID_596	0.00432457
ID_597	ID_597	6.78096e-05
ID_598	ID_598	-0.00427867
ID_599	ID_599	-0.0071127
ID_600	ID_600	-0.00902068
ID_601	ID_601	-0.00304489
ID_602	ID_602	0.00183668
ID_603	ID_603	-0.00173117
ID_604	ID_604	-0.00215623
ID_605	ID_605	0.00126113
ID_606	ID_606	-0.00228166
ID_607	ID_607	0.000618939
ID_608	ID_608	0.00199376
ID_609	ID_609	-0.00264869
ID_610	ID_610	0.00204152
ID_611	ID_611	0.00207256
ID_612	ID_612	0.000973087
ID_613	ID_613	0.00534966
ID_614	ID_614	0.00200061
ID_615	ID_615	-0.000311768
ID_616	ID_616	-0.0042913
ID_617	ID_617	0.00304158
ID_618	ID_618	0.00217349
ID_619	ID_619	-0.00724091
ID_620	ID_620	0.000801444
ID_621	ID_621	0.0011816
ID_622	ID_622	0.000259674
ID_623	ID_623	-0.00258873
ID_624	ID_624	-0.00212116
ID_625	ID_625	0.00310913
ID_626	ID_626	0.00578269
ID_627	ID_627	-0.00273268
ID_628	ID_628	0.00202286
ID_629	ID_629	0.000339303
ID_630	ID_630	0.00511436
ID_631	ID_631	0.00127184
ID_632	ID_632	-0.00306102
ID_633	ID_633	-0.0085777
ID_634	ID_634	-0.000393516
ID_635	ID_635	0.00180693
ID_636	ID_636	0.00116449
ID_637	ID_637	0.00409861
ID_638	ID_638	0.00739911
ID_639	ID_639	0.00995139
ID_640	ID_640	-0.00804781
ID_641	ID_641	0.00754136
ID_642	ID_642	0.00154266
ID_643	ID_643	0.00363275
ID_644	ID_644	-0.00139783
ID_645	ID_645	-0.00442017
ID_646	ID_646	0.00554162
ID_647	ID_647	0.00738083
ID_648	ID_648	-0.00353245
ID_649	ID_649	0.00293701
ID_650	ID_650	-0.00385053
ID_651	ID_651	-0.000960388
ID_652	ID_652	0.00112616
ID_653	ID_653	0.00527299
ID_654	ID_654	-0.00747554
ID_655	ID_655	0.000129449
ID_656	ID_656	-0.00460383
ID_657	ID_657	0.00465126
ID_658	ID_658	0.0030362
ID_659	ID_659	0.00208452
ID_660	ID_660	0.00127157
ID_661	ID_661	0.00330477
ID_662	ID_662	0.00219962
ID_663	ID_663	-0.00169867
ID_664	ID_664	0.00236312
ID_665	ID_665	-0.0023576
ID_666	ID_666	-0.000549977
ID_667	ID_667	0.000762332
ID_668	ID_668	0.0043885
ID_669	ID_669	0.00294922
ID_670	ID_670	0.000583341
ID_671	ID_671	-0.00476221
ID_672	ID_672	0.00681534
ID_673	ID_673	0.00560652
ID_674	ID_674	0.0109297
ID_675	ID_675	0.006165
ID_676	ID_676	0.00634019
ID_677	ID_677	0.00142276
ID_678	ID_678	-0.000404715
ID_679	ID_679	-0.00621948
ID_680	ID_680	0.00165586
ID_681	ID_681	-0.00518349
ID_682	ID_682	-5.15956e-05
ID_683	ID_683	0.00684593
ID_684	ID_684	-0.00549237
ID_685	ID_685	0.00273028
ID_686	ID_686	-0.006585
ID_687	ID_687	-0.00382333
ID_688	ID_688	-0.00645368
ID_689	ID_689	-0.00411279
ID_690	ID_690	0.00130437
ID_691	ID_691	0.00314873
ID_692	ID_692	0.00024356
ID_693	ID_693	0.00828831
ID_694	ID_694	-0.0124906
ID_695	ID_695	-0.00449717
ID_696	ID_696	0.000626096
ID_697	ID_697	0.00165708
ID_698	ID_698	-0.00463332
ID_699	ID_699	-0.00629965
ID_700	ID_700	-0.00765016
ID_701	ID_701	0.00477253
ID_702	ID_702	-0.00238677
ID_703	ID_703	0.0016423
ID_704	ID_704	8.58677e-05
ID_705	ID_705	-0.00110748
ID_706	ID_706	0.0053455
ID_707	ID_707	0.00779097
ID_708	ID_708	-0.00482717
ID_709	ID_709	0.00163224
ID_710	ID_710	0.00672539
ID_711	ID_711	-0.000665407
ID_712	ID_712	-0.000307919
ID_713	ID_713	-0.00430695
ID_714	ID_714	-0.0030074
ID_715	ID_715	0.000456644
ID_716	ID_716	0.000610882
ID_717	ID_717	-0.00864858
ID_718	ID_718	0.00447413
ID_719	ID_719	0.00833502
ID_720	ID_720	-0.00447024
ID_721	ID_721	0.00313755
ID_722	ID_722	-0.00440215
ID_723	ID_723	0.00635673
ID_724	ID_724	0.00178327
ID_725	ID_725	-0.00181323
ID_726	ID_726	0.00465124
ID_727	ID_727	-0.00316484
ID_728	ID_728	-0.00274293
ID_729	ID_729	-0.0112113
ID_730	ID_730	0.00203838
ID_731	ID_731	0.00386301
ID_732	ID_732	0.00298781
ID_733	ID_733	0.00255412
ID_734	ID_734	0.00768646
ID_735	ID_735	-8.4201e-05
ID_736	ID_736	0.00383481
ID_737	ID_737	0.00420593
ID_738	ID_738	0.00129563
ID_739	ID_739	0.00315575
ID_740	ID_740	-0.00307038
ID_741	ID_741	-0.00340902
ID_742	ID_742	0.0108082
ID_743	ID_743	0.00119609
ID_744	ID_744	0.00498392
ID_745	ID_745	0.0125669
ID_746	ID_746	0.00406846
ID_747	ID_747	0.00353281
ID_748	ID_748	0.00228952
ID_749	ID_749	0.00580602
ID_750	ID_750	-0.000458659
ID_751	ID_751	-0.00304243
ID_752	ID_752	0.00792319
ID_753	ID_753	0.011901
ID_754	ID_754	-0.00321141
ID_755	ID_755	0.00622895
ID_756	ID_756	0.00437769
ID_757	ID_757	0.00112805
ID_758	ID_758	-0.00887823
ID_759	ID_759	0.00720071
ID_760	ID_760	-0.00147675
ID_761	ID_761	-0.0039809
ID_762	ID_762	0.00474302
